,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Unkn,,,16.96,16.96,0.000,,,,0.00000,72.0,
,A02,SYBR,,Unkn,,,16.93,16.93,0.000,,,,0.00000,72.0,
,A03,SYBR,,Unkn,,,16.72,16.72,0.000,,,,0.00000,72.0,
,A04,SYBR,,Unkn,,,17.25,17.25,0.000,,,,0.00000,72.0,
,A05,SYBR,,Unkn,,,17.18,17.18,0.000,,,,0.00000,72.0,
,A06,SYBR,,Unkn,,,17.15,17.15,0.000,,,,0.00000,72.0,
,A07,SYBR,,Unkn,,,17.17,17.17,0.000,,,,0.00000,72.0,
,A08,SYBR,,Unkn,,,17.22,17.22,0.000,,,,0.00000,72.0,
,A09,SYBR,,Unkn,,,17.12,17.12,0.000,,,,0.00000,72.0,
,A10,SYBR,,Unkn,,,17.35,17.35,0.000,,,,0.00000,72.0,
,A11,SYBR,,Unkn,,,17.50,17.50,0.000,,,,0.00000,72.0,
,A12,SYBR,,Unkn,,,17.62,17.62,0.000,,,,0.00000,72.0,
,B01,SYBR,,Unkn,,,27.98,27.98,0.000,,,,0.00000,72.0,
,B02,SYBR,,Unkn,,,27.49,27.49,0.000,,,,0.00000,72.0,
,B03,SYBR,,Unkn,,,27.66,27.66,0.000,,,,0.00000,72.0,
,B04,SYBR,,Unkn,,,30.26,30.26,0.000,,,,0.00000,72.0,
,B05,SYBR,,Unkn,,,29.80,29.80,0.000,,,,0.00000,72.0,
,B06,SYBR,,Unkn,,,30.13,30.13,0.000,,,,0.00000,72.0,
,B07,SYBR,,Unkn,,,30.91,30.91,0.000,,,,0.00000,72.0,
,B08,SYBR,,Unkn,,,30.17,30.17,0.000,,,,0.00000,72.0,
,B09,SYBR,,Unkn,,,30.34,30.34,0.000,,,,0.00000,72.0,
,B10,SYBR,,Unkn,,,31.61,31.61,0.000,,,,0.00000,72.0,
,B11,SYBR,,Unkn,,,32.89,32.89,0.000,,,,0.00000,72.0,
,B12,SYBR,,Unkn,,,31.71,31.71,0.000,,,,0.00000,72.0,
,C01,SYBR,,Unkn,,,26.00,26.00,0.000,,,,0.00000,72.0,
,C02,SYBR,,Unkn,,,25.64,25.64,0.000,,,,0.00000,72.0,
,C03,SYBR,,Unkn,,,25.77,25.77,0.000,,,,0.00000,72.0,
,C04,SYBR,,Unkn,,,25.67,25.67,0.000,,,,0.00000,72.0,
,C05,SYBR,,Unkn,,,25.77,25.77,0.000,,,,0.00000,72.0,
,C06,SYBR,,Unkn,,,25.93,25.93,0.000,,,,0.00000,72.0,
,C07,SYBR,,Unkn,,,26.63,26.63,0.000,,,,0.00000,72.0,
,C08,SYBR,,Unkn,,,26.55,26.55,0.000,,,,0.00000,72.0,
,C09,SYBR,,Unkn,,,26.76,26.76,0.000,,,,0.00000,72.0,
,C10,SYBR,,Unkn,,,26.61,26.61,0.000,,,,0.00000,72.0,
,C11,SYBR,,Unkn,,,26.37,26.37,0.000,,,,0.00000,72.0,
,C12,SYBR,,Unkn,,,26.65,26.65,0.000,,,,0.00000,72.0,
,D01,SYBR,,Unkn,,,17.72,17.72,0.000,,,,0.00000,72.0,
,D02,SYBR,,Unkn,,,17.53,17.53,0.000,,,,0.00000,72.0,
,D03,SYBR,,Unkn,,,17.55,17.55,0.000,,,,0.00000,72.0,
,D04,SYBR,,Unkn,,,17.16,17.16,0.000,,,,0.00000,72.0,
,D05,SYBR,,Unkn,,,17.23,17.23,0.000,,,,0.00000,72.0,
,D06,SYBR,,Unkn,,,17.21,17.21,0.000,,,,0.00000,72.0,
,D07,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,D08,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,D09,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,D10,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,D11,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,D12,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,E01,SYBR,,Unkn,,,32.08,32.08,0.000,,,,0.00000,72.0,
,E02,SYBR,,Unkn,,,31.74,31.74,0.000,,,,0.00000,72.0,
,E03,SYBR,,Unkn,,,31.45,31.45,0.000,,,,0.00000,72.0,
,E04,SYBR,,Unkn,,,30.26,30.26,0.000,,,,0.00000,72.0,
,E05,SYBR,,Unkn,,,29.99,29.99,0.000,,,,0.00000,72.0,
,E06,SYBR,,Unkn,,,29.97,29.97,0.000,,,,0.00000,72.0,
,E07,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,E08,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,E09,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,E10,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,E11,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,E12,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,F01,SYBR,,Unkn,,,26.05,26.05,0.000,,,,0.00000,72.0,
,F02,SYBR,,Unkn,,,26.11,26.11,0.000,,,,0.00000,72.0,
,F03,SYBR,,Unkn,,,25.85,25.85,0.000,,,,0.00000,72.0,
,F04,SYBR,,Unkn,,,26.21,26.21,0.000,,,,0.00000,72.0,
,F05,SYBR,,Unkn,,,26.28,26.28,0.000,,,,0.00000,72.0,
,F06,SYBR,,Unkn,,,26.18,26.18,0.000,,,,0.00000,72.0,
,F07,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,F08,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,F09,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,F10,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,F11,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,F12,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,G01,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,G02,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,G03,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,G04,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,G05,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,G06,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,G07,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,G08,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,G09,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,G10,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,G11,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,G12,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H01,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H02,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H03,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H04,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H05,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H06,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H07,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H08,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H09,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H10,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H11,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
,H12,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,72.0,
